job_index,cell_index,cell,replicate,data_seed,fold_seed
0,0,uniform,0,202609220000,202609320000
1,1,base,0,202609221000,202609321000
2,2,weak_overlap,0,202609222000,202609322000
3,0,uniform,1,202609220001,202609320001
4,1,base,1,202609221001,202609321001
5,2,weak_overlap,1,202609222001,202609322001
6,0,uniform,2,202609220002,202609320002
7,1,base,2,202609221002,202609321002
8,2,weak_overlap,2,202609222002,202609322002
9,0,uniform,3,202609220003,202609320003
10,1,base,3,202609221003,202609321003
11,2,weak_overlap,3,202609222003,202609322003
12,0,uniform,4,202609220004,202609320004
13,1,base,4,202609221004,202609321004
14,2,weak_overlap,4,202609222004,202609322004
15,0,uniform,5,202609220005,202609320005
16,1,base,5,202609221005,202609321005
17,2,weak_overlap,5,202609222005,202609322005
18,0,uniform,6,202609220006,202609320006
19,1,base,6,202609221006,202609321006
20,2,weak_overlap,6,202609222006,202609322006
21,0,uniform,7,202609220007,202609320007
22,1,base,7,202609221007,202609321007
23,2,weak_overlap,7,202609222007,202609322007
24,0,uniform,8,202609220008,202609320008
25,1,base,8,202609221008,202609321008
26,2,weak_overlap,8,202609222008,202609322008
27,0,uniform,9,202609220009,202609320009
28,1,base,9,202609221009,202609321009
29,2,weak_overlap,9,202609222009,202609322009
30,0,uniform,10,202609220010,202609320010
31,1,base,10,202609221010,202609321010
32,2,weak_overlap,10,202609222010,202609322010
33,0,uniform,11,202609220011,202609320011
34,1,base,11,202609221011,202609321011
35,2,weak_overlap,11,202609222011,202609322011
36,0,uniform,12,202609220012,202609320012
37,1,base,12,202609221012,202609321012
38,2,weak_overlap,12,202609222012,202609322012
39,0,uniform,13,202609220013,202609320013
40,1,base,13,202609221013,202609321013
41,2,weak_overlap,13,202609222013,202609322013
42,0,uniform,14,202609220014,202609320014
43,1,base,14,202609221014,202609321014
44,2,weak_overlap,14,202609222014,202609322014
45,0,uniform,15,202609220015,202609320015
46,1,base,15,202609221015,202609321015
47,2,weak_overlap,15,202609222015,202609322015
48,0,uniform,16,202609220016,202609320016
49,1,base,16,202609221016,202609321016
50,2,weak_overlap,16,202609222016,202609322016
51,0,uniform,17,202609220017,202609320017
52,1,base,17,202609221017,202609321017
53,2,weak_overlap,17,202609222017,202609322017
54,0,uniform,18,202609220018,202609320018
55,1,base,18,202609221018,202609321018
56,2,weak_overlap,18,202609222018,202609322018
57,0,uniform,19,202609220019,202609320019
58,1,base,19,202609221019,202609321019
59,2,weak_overlap,19,202609222019,202609322019
60,0,uniform,20,202609220020,202609320020
61,1,base,20,202609221020,202609321020
62,2,weak_overlap,20,202609222020,202609322020
63,0,uniform,21,202609220021,202609320021
64,1,base,21,202609221021,202609321021
65,2,weak_overlap,21,202609222021,202609322021
66,0,uniform,22,202609220022,202609320022
67,1,base,22,202609221022,202609321022
68,2,weak_overlap,22,202609222022,202609322022
69,0,uniform,23,202609220023,202609320023
70,1,base,23,202609221023,202609321023
71,2,weak_overlap,23,202609222023,202609322023
72,0,uniform,24,202609220024,202609320024
73,1,base,24,202609221024,202609321024
74,2,weak_overlap,24,202609222024,202609322024
75,0,uniform,25,202609220025,202609320025
76,1,base,25,202609221025,202609321025
77,2,weak_overlap,25,202609222025,202609322025
78,0,uniform,26,202609220026,202609320026
79,1,base,26,202609221026,202609321026
80,2,weak_overlap,26,202609222026,202609322026
81,0,uniform,27,202609220027,202609320027
82,1,base,27,202609221027,202609321027
83,2,weak_overlap,27,202609222027,202609322027
84,0,uniform,28,202609220028,202609320028
85,1,base,28,202609221028,202609321028
86,2,weak_overlap,28,202609222028,202609322028
87,0,uniform,29,202609220029,202609320029
88,1,base,29,202609221029,202609321029
89,2,weak_overlap,29,202609222029,202609322029
90,0,uniform,30,202609220030,202609320030
91,1,base,30,202609221030,202609321030
92,2,weak_overlap,30,202609222030,202609322030
93,0,uniform,31,202609220031,202609320031
94,1,base,31,202609221031,202609321031
95,2,weak_overlap,31,202609222031,202609322031
96,0,uniform,32,202609220032,202609320032
97,1,base,32,202609221032,202609321032
98,2,weak_overlap,32,202609222032,202609322032
99,0,uniform,33,202609220033,202609320033
100,1,base,33,202609221033,202609321033
101,2,weak_overlap,33,202609222033,202609322033
102,0,uniform,34,202609220034,202609320034
103,1,base,34,202609221034,202609321034
104,2,weak_overlap,34,202609222034,202609322034
105,0,uniform,35,202609220035,202609320035
106,1,base,35,202609221035,202609321035
107,2,weak_overlap,35,202609222035,202609322035
108,0,uniform,36,202609220036,202609320036
109,1,base,36,202609221036,202609321036
110,2,weak_overlap,36,202609222036,202609322036
111,0,uniform,37,202609220037,202609320037
112,1,base,37,202609221037,202609321037
113,2,weak_overlap,37,202609222037,202609322037
114,0,uniform,38,202609220038,202609320038
115,1,base,38,202609221038,202609321038
116,2,weak_overlap,38,202609222038,202609322038
117,0,uniform,39,202609220039,202609320039
118,1,base,39,202609221039,202609321039
119,2,weak_overlap,39,202609222039,202609322039
120,0,uniform,40,202609220040,202609320040
121,1,base,40,202609221040,202609321040
122,2,weak_overlap,40,202609222040,202609322040
123,0,uniform,41,202609220041,202609320041
124,1,base,41,202609221041,202609321041
125,2,weak_overlap,41,202609222041,202609322041
126,0,uniform,42,202609220042,202609320042
127,1,base,42,202609221042,202609321042
128,2,weak_overlap,42,202609222042,202609322042
129,0,uniform,43,202609220043,202609320043
130,1,base,43,202609221043,202609321043
131,2,weak_overlap,43,202609222043,202609322043
132,0,uniform,44,202609220044,202609320044
133,1,base,44,202609221044,202609321044
134,2,weak_overlap,44,202609222044,202609322044
135,0,uniform,45,202609220045,202609320045
136,1,base,45,202609221045,202609321045
137,2,weak_overlap,45,202609222045,202609322045
138,0,uniform,46,202609220046,202609320046
139,1,base,46,202609221046,202609321046
140,2,weak_overlap,46,202609222046,202609322046
141,0,uniform,47,202609220047,202609320047
142,1,base,47,202609221047,202609321047
143,2,weak_overlap,47,202609222047,202609322047
144,0,uniform,48,202609220048,202609320048
145,1,base,48,202609221048,202609321048
146,2,weak_overlap,48,202609222048,202609322048
147,0,uniform,49,202609220049,202609320049
148,1,base,49,202609221049,202609321049
149,2,weak_overlap,49,202609222049,202609322049
150,0,uniform,50,202609220050,202609320050
151,1,base,50,202609221050,202609321050
152,2,weak_overlap,50,202609222050,202609322050
153,0,uniform,51,202609220051,202609320051
154,1,base,51,202609221051,202609321051
155,2,weak_overlap,51,202609222051,202609322051
156,0,uniform,52,202609220052,202609320052
157,1,base,52,202609221052,202609321052
158,2,weak_overlap,52,202609222052,202609322052
159,0,uniform,53,202609220053,202609320053
160,1,base,53,202609221053,202609321053
161,2,weak_overlap,53,202609222053,202609322053
162,0,uniform,54,202609220054,202609320054
163,1,base,54,202609221054,202609321054
164,2,weak_overlap,54,202609222054,202609322054
165,0,uniform,55,202609220055,202609320055
166,1,base,55,202609221055,202609321055
167,2,weak_overlap,55,202609222055,202609322055
168,0,uniform,56,202609220056,202609320056
169,1,base,56,202609221056,202609321056
170,2,weak_overlap,56,202609222056,202609322056
171,0,uniform,57,202609220057,202609320057
172,1,base,57,202609221057,202609321057
173,2,weak_overlap,57,202609222057,202609322057
174,0,uniform,58,202609220058,202609320058
175,1,base,58,202609221058,202609321058
176,2,weak_overlap,58,202609222058,202609322058
177,0,uniform,59,202609220059,202609320059
178,1,base,59,202609221059,202609321059
179,2,weak_overlap,59,202609222059,202609322059
180,0,uniform,60,202609220060,202609320060
181,1,base,60,202609221060,202609321060
182,2,weak_overlap,60,202609222060,202609322060
183,0,uniform,61,202609220061,202609320061
184,1,base,61,202609221061,202609321061
185,2,weak_overlap,61,202609222061,202609322061
186,0,uniform,62,202609220062,202609320062
187,1,base,62,202609221062,202609321062
188,2,weak_overlap,62,202609222062,202609322062
189,0,uniform,63,202609220063,202609320063
190,1,base,63,202609221063,202609321063
191,2,weak_overlap,63,202609222063,202609322063
192,0,uniform,64,202609220064,202609320064
193,1,base,64,202609221064,202609321064
194,2,weak_overlap,64,202609222064,202609322064
195,0,uniform,65,202609220065,202609320065
196,1,base,65,202609221065,202609321065
197,2,weak_overlap,65,202609222065,202609322065
198,0,uniform,66,202609220066,202609320066
199,1,base,66,202609221066,202609321066
200,2,weak_overlap,66,202609222066,202609322066
201,0,uniform,67,202609220067,202609320067
202,1,base,67,202609221067,202609321067
203,2,weak_overlap,67,202609222067,202609322067
204,0,uniform,68,202609220068,202609320068
205,1,base,68,202609221068,202609321068
206,2,weak_overlap,68,202609222068,202609322068
207,0,uniform,69,202609220069,202609320069
208,1,base,69,202609221069,202609321069
209,2,weak_overlap,69,202609222069,202609322069
210,0,uniform,70,202609220070,202609320070
211,1,base,70,202609221070,202609321070
212,2,weak_overlap,70,202609222070,202609322070
213,0,uniform,71,202609220071,202609320071
214,1,base,71,202609221071,202609321071
215,2,weak_overlap,71,202609222071,202609322071
216,0,uniform,72,202609220072,202609320072
217,1,base,72,202609221072,202609321072
218,2,weak_overlap,72,202609222072,202609322072
219,0,uniform,73,202609220073,202609320073
220,1,base,73,202609221073,202609321073
221,2,weak_overlap,73,202609222073,202609322073
222,0,uniform,74,202609220074,202609320074
223,1,base,74,202609221074,202609321074
224,2,weak_overlap,74,202609222074,202609322074
225,0,uniform,75,202609220075,202609320075
226,1,base,75,202609221075,202609321075
227,2,weak_overlap,75,202609222075,202609322075
228,0,uniform,76,202609220076,202609320076
229,1,base,76,202609221076,202609321076
230,2,weak_overlap,76,202609222076,202609322076
231,0,uniform,77,202609220077,202609320077
232,1,base,77,202609221077,202609321077
233,2,weak_overlap,77,202609222077,202609322077
234,0,uniform,78,202609220078,202609320078
235,1,base,78,202609221078,202609321078
236,2,weak_overlap,78,202609222078,202609322078
237,0,uniform,79,202609220079,202609320079
238,1,base,79,202609221079,202609321079
239,2,weak_overlap,79,202609222079,202609322079
240,0,uniform,80,202609220080,202609320080
241,1,base,80,202609221080,202609321080
242,2,weak_overlap,80,202609222080,202609322080
243,0,uniform,81,202609220081,202609320081
244,1,base,81,202609221081,202609321081
245,2,weak_overlap,81,202609222081,202609322081
246,0,uniform,82,202609220082,202609320082
247,1,base,82,202609221082,202609321082
248,2,weak_overlap,82,202609222082,202609322082
249,0,uniform,83,202609220083,202609320083
250,1,base,83,202609221083,202609321083
251,2,weak_overlap,83,202609222083,202609322083
252,0,uniform,84,202609220084,202609320084
253,1,base,84,202609221084,202609321084
254,2,weak_overlap,84,202609222084,202609322084
255,0,uniform,85,202609220085,202609320085
256,1,base,85,202609221085,202609321085
257,2,weak_overlap,85,202609222085,202609322085
258,0,uniform,86,202609220086,202609320086
259,1,base,86,202609221086,202609321086
260,2,weak_overlap,86,202609222086,202609322086
261,0,uniform,87,202609220087,202609320087
262,1,base,87,202609221087,202609321087
263,2,weak_overlap,87,202609222087,202609322087
264,0,uniform,88,202609220088,202609320088
265,1,base,88,202609221088,202609321088
266,2,weak_overlap,88,202609222088,202609322088
267,0,uniform,89,202609220089,202609320089
268,1,base,89,202609221089,202609321089
269,2,weak_overlap,89,202609222089,202609322089
270,0,uniform,90,202609220090,202609320090
271,1,base,90,202609221090,202609321090
272,2,weak_overlap,90,202609222090,202609322090
273,0,uniform,91,202609220091,202609320091
274,1,base,91,202609221091,202609321091
275,2,weak_overlap,91,202609222091,202609322091
276,0,uniform,92,202609220092,202609320092
277,1,base,92,202609221092,202609321092
278,2,weak_overlap,92,202609222092,202609322092
279,0,uniform,93,202609220093,202609320093
280,1,base,93,202609221093,202609321093
281,2,weak_overlap,93,202609222093,202609322093
282,0,uniform,94,202609220094,202609320094
283,1,base,94,202609221094,202609321094
284,2,weak_overlap,94,202609222094,202609322094
285,0,uniform,95,202609220095,202609320095
286,1,base,95,202609221095,202609321095
287,2,weak_overlap,95,202609222095,202609322095
288,0,uniform,96,202609220096,202609320096
289,1,base,96,202609221096,202609321096
290,2,weak_overlap,96,202609222096,202609322096
291,0,uniform,97,202609220097,202609320097
292,1,base,97,202609221097,202609321097
293,2,weak_overlap,97,202609222097,202609322097
294,0,uniform,98,202609220098,202609320098
295,1,base,98,202609221098,202609321098
296,2,weak_overlap,98,202609222098,202609322098
297,0,uniform,99,202609220099,202609320099
298,1,base,99,202609221099,202609321099
299,2,weak_overlap,99,202609222099,202609322099
300,0,uniform,100,202609220100,202609320100
301,1,base,100,202609221100,202609321100
302,2,weak_overlap,100,202609222100,202609322100
