replicate,data_seed,fold_seed
0,231746360343349885126730213803377655553,312182322560290380702602235989430528835
1,103311293112029756182027197315986910257,278766084275317369508387466107811321136
2,187480496202133173709643282793003872606,93637139062376906401712981741692377624
3,15725029062655026960300861959528730877,12798636363289643575254487222814233575
4,14487824805112464034554821768499475837,283159491406057452320220904984843675875
5,295160404983373943554705315289555671867,228990443784110169739585346002997806149
6,282467920886426325371015216616387141392,174243265449280217289802928839307453538
7,30002131426208165885479690853356324904,211700011897754164825514153373527031034
8,116563510312409646375542938054434343387,215805918208267525510707618567517710079
9,2151368216534990025279610814122461282,159458223329409634300408926181200672090
10,19252275034783864314328985653165847045,273704208684713754606847810652308974916
11,82763372590191214078139921818810328736,295569484296546396938770222099774824786
12,51777749211397019417164701347693038704,5302532711148414586898309969127062877
13,247666629901266830200169754795172990666,248796715961972195717505450050094038458
14,36628168731444845994536639480813960311,75893714348892078799111413526945012750
15,116580509642475980869349572029026657100,215592079173273872062912896946556291077
16,325382956092740812440158350907133531334,148124354966393758328206663969956192831
17,271465011675851839979824616198656533604,184337367121489402814912784598348560983
18,227113617182366777670942295285394587326,220417084340014856070437854327551060705
19,154562192878878696299048018513616291941,196459657062719188953266480025920777170
20,310624543079440915280656469279525078682,118096632148593219840504353432422871936
21,215021544071611333391117227284831190723,312358882512584835614180414976678992588
22,223396915255670895873832820681234938658,304862869495634924720072049538782527334
23,237382060749789130169161432552561923507,232619329440270646465525851674586701017
24,328333408930099976301166182648383581348,278176431316015952520134926529463821404
25,179496555761678016701600412649656664982,170236875724776775644369477772116802784
26,57857656935279461564971764337030991092,314523517425059390714037729579228407507
27,24008890916437150847136126573794918326,137519606224696112544463485174349076029
28,284287864397222548913077326907707171470,160526252911208988311440345201710044183
29,3479616055251920528262110297887194050,125773129373633567616793910021932446062
30,75359426599176697643162814113722939218,300815282019626064474826542657175085106
31,217789568499185460362036417562228375537,155173352302555103243020220833030947139
32,128476520793419801880906120012971615518,88986596189778118017958661507978828371
33,34780990842949487409189071832743197933,70762168240378137715413497676005370346
34,315245580790093270591276367921267893226,187643719312202497909488728739670991705
35,117820864473521985743996022079557919752,53400034004976334786338800751053024881
36,45948337334088756754203321067820930543,270632267362025272526225870223034266537
37,337476659203426322586017749021007191542,273757651236381267108918054350840476887
38,5758155128369828858487578464015133466,152690250188672360500024310790926018443
39,145977278502673626456563862519425596083,249636545812220538248389329265877600478
40,218053432417062220074634236661452225197,68414302648433487512323623323581675114
41,258693517465568535201020310305026516457,125794566992357105728139488892579144430
42,318310550644382945510450705550763554067,218952633276258199619901445519568127825
43,180780468015217352846880794512552686342,181762233314063556963690497551990673517
44,22615445947030877420619460347020061734,141538532224730110480169450780455652013
45,194172452799715203513214897618881506610,314168377455413969686243754192801671748
46,165562502574076345984313560988687883271,242949274419063129313712153109202072457
47,304945192124737150070134523237273432917,102442231310933354675450863924484317396
48,297638097094947594193684807199760011073,138624798301017506344781238975331900111
49,42940949951982518409916681472333945139,23475014580658771235220829754983718432
50,22566814067723292980816034056630247861,122796259461960697938359657642816559227
51,37983726602120383105554200742051826176,187706261478266900843463266108915724094
52,228955848251620445566433558586032179148,70622229088833382871503917267441903051
53,331167496764189378111440879998279046230,32462562255382302847570772114481990597
54,213511913137014451135173036310776722225,94364710147134467426896615818298571229
55,32443800962144334142587982923688461072,262475355522617687780376789684663646997
56,240817096336917421384431799290143550566,180451556076551587551345426796006685748
57,172027828492141555446673252929569178847,55898516535908360171433807675647739911
58,23034599365239850930096431548447698140,257700314699757313041868121202094976173
59,43121924081500398866971712921143443686,338845824759338833324460405650530059972
60,112464881769292519960456261248715168386,1344237083633404919441138197664592638
61,157710323931244753869369432180119542188,322315879772139110467722546129548901157
62,165539075440155921348046482358665846510,140038059625745019025228178878002261032
63,277579932784209387483252015708110022626,132533812317807472041621009978523220535
64,264243576133711779163082232388480384310,170601017494044786110356664858584566100
65,6176473579334423657862880746171264010,148108709156969805019890486156605354846
66,9385620489404739039202908378604029549,52993131070964180780721460542883678476
67,340041420312631774090159806221021343300,155178820648682691120816073039376747525
68,324071079003998904856256389999579181735,70360618579943180300232492476415739009
69,290712004114991340910631207761199019384,29322718677792181444175252849864029680
70,139648331874551457078661634788526778009,50208713377004505528970498624139276689
71,51315821108749870013427406759218234139,177188893491051812465749000164073796771
72,131369143908855836548220534352572313462,61450925323003099462710593076758540465
73,163376166840148183787694490312331204948,283503306917996109050806373122796146033
74,270931875556328824321722706910806956071,327233046835360594372723532192876830118
75,255435157774255466462000840278575064266,16357674538077093783484501577379006026
76,219133356022719592981502807853373378788,34288719454606160158280332163790423993
77,107240676971798380151313284804834165740,253853838206434260010964495688124082951
78,125445042170994864360714624654657372971,333500672056052553532620198627796129431
79,200712116310077178201624837937850293919,313314747036844501765970573158684130533
80,182110362957028010842208268123128028743,13580758046179540025499372980678816692
81,173528818288488827900403508693893517701,153722731213467340063354414883353528861
82,264093301031297442370214495637180795330,44386951472151384266085681638854875889
83,337123677324014711516101242180224724782,322254836932648938129728437166540606330
84,126371728025390726958282195036263283692,226948473432845556780357034099831232847
85,25420619723400014977125054437798560029,283941335037938462400137463859551265022
86,258843341108392948525194142501185234779,16776268935790186556151374752677986781
87,173402258289870794913037549209037218698,208759264296366874349546708174804953643
88,215076240776530451871961970436406643330,20295451134253547830840178679476498933
89,302044561262429078912547055847409434086,89505998608242492417104117491445582598
90,222367773444847205305899604782995672612,109274949343877617885687776625175149161
91,130642545238544754491425526973961023542,271899838446093334215999295649358067786
92,245930182449383946913748313343434304106,91029907032716871209919386209992983775
93,303693774039713385022723621996496223234,78306987177910946906523442265941591305
