0.00.069.037 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.070.397 W srv  llama_server: -----------------
0.00.070.399 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.070.399 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.070.400 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.070.400 W srv  llama_server: -----------------
0.00.072.559 I srv    load_model: loading model '/Users/yukangzengcmac/.cache/huggingface/hub/models--Qwen--Qwen2.5-3B-Instruct-GGUF/snapshots/7dabda4d13d513e3e842b20f0d435c732f172cbe/qwen2.5-3b-instruct-q4_k_m.gguf'
0.00.235.557 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.00.443.132 I cmn          init: llama threadpool init, n_threads = 4
0.00.523.047 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.00.529.607 I srv  llama_server: model loaded
0.00.529.609 I srv  llama_server: listening on http://127.0.0.1:8193
0.04.628.949 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.04.628.968 I slot launch_slot_: id  3 | task 4 | processing task, is_child = 0
0.06.263.971 I slot print_timing: id  3 | task 4 | prompt eval time =     190.87 ms /   196 tokens (    0.97 ms per token,  1026.90 tokens per second)
0.06.263.975 I slot print_timing: id  3 | task 4 |        eval time =    1443.98 ms /    68 tokens (   21.55 ms per token,    46.40 tokens per second)
0.06.263.976 I slot print_timing: id  3 | task 4 |       total time =    1634.84 ms /   264 tokens
0.06.263.976 I slot print_timing: id  3 | task 4 |    graphs reused =         66
0.06.264.027 I slot      release: id  3 | task 4 | stop processing: n_tokens = 263, truncated = 0
0.06.283.399 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.091
0.06.284.982 I slot launch_slot_: id  3 | task 74 | processing task, is_child = 0
0.06.882.660 I slot print_timing: id  3 | task 74 | prompt eval time =     169.03 ms /   192 tokens (    0.88 ms per token,  1135.92 tokens per second)
0.06.882.661 I slot print_timing: id  3 | task 74 |        eval time =     428.65 ms /    21 tokens (   21.43 ms per token,    46.66 tokens per second)
0.06.882.661 I slot print_timing: id  3 | task 74 |       total time =     597.67 ms /   213 tokens
0.06.882.662 I slot print_timing: id  3 | task 74 |    graphs reused =         85
0.06.882.680 I slot      release: id  3 | task 74 | stop processing: n_tokens = 212, truncated = 0
0.06.894.174 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.119 (> 0.100 thold), f_keep = 0.113
0.06.894.816 I slot launch_slot_: id  3 | task 97 | processing task, is_child = 0
0.07.453.498 I slot print_timing: id  3 | task 97 | prompt eval time =     171.20 ms /   202 tokens (    0.85 ms per token,  1179.89 tokens per second)
0.07.453.499 I slot print_timing: id  3 | task 97 |        eval time =     387.47 ms /    19 tokens (   21.53 ms per token,    46.45 tokens per second)
0.07.453.500 I slot print_timing: id  3 | task 97 |       total time =     558.68 ms /   221 tokens
0.07.453.500 I slot print_timing: id  3 | task 97 |    graphs reused =        102
0.07.453.511 I slot      release: id  3 | task 97 | stop processing: n_tokens = 220, truncated = 0
0.07.463.070 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.150 (> 0.100 thold), f_keep = 0.109
0.07.463.727 I slot launch_slot_: id  3 | task 118 | processing task, is_child = 0
0.07.862.434 I slot print_timing: id  3 | task 118 | prompt eval time =     162.62 ms /   160 tokens (    1.02 ms per token,   983.86 tokens per second)
0.07.862.436 I slot print_timing: id  3 | task 118 |        eval time =     236.08 ms /    12 tokens (   21.46 ms per token,    46.59 tokens per second)
0.07.862.436 I slot print_timing: id  3 | task 118 |       total time =     398.70 ms /   172 tokens
0.07.862.437 I slot print_timing: id  3 | task 118 |    graphs reused =        112
0.07.862.453 I slot      release: id  3 | task 118 | stop processing: n_tokens = 171, truncated = 0
0.07.872.070 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.130 (> 0.100 thold), f_keep = 0.140
0.07.872.601 I slot launch_slot_: id  3 | task 132 | processing task, is_child = 0
0.10.062.035 I slot print_timing: id  3 | task 132 | prompt eval time =     167.00 ms /   185 tokens (    0.90 ms per token,  1107.80 tokens per second)
0.10.062.037 I slot print_timing: id  3 | task 132 |        eval time =    2022.43 ms /    95 tokens (   21.52 ms per token,    46.48 tokens per second)
0.10.062.037 I slot print_timing: id  3 | task 132 |       total time =    2189.43 ms /   280 tokens
0.10.062.037 I slot print_timing: id  3 | task 132 |    graphs reused =        204
0.10.062.049 I slot      release: id  3 | task 132 | stop processing: n_tokens = 279, truncated = 0
0.10.072.309 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.137 (> 0.100 thold), f_keep = 0.086
0.10.073.193 I slot launch_slot_: id  3 | task 229 | processing task, is_child = 0
0.10.822.339 I slot print_timing: id  3 | task 229 | prompt eval time =     165.26 ms /   175 tokens (    0.94 ms per token,  1058.94 tokens per second)
0.10.822.342 I slot print_timing: id  3 | task 229 |        eval time =     583.88 ms /    28 tokens (   21.63 ms per token,    46.24 tokens per second)
0.10.822.342 I slot print_timing: id  3 | task 229 |       total time =     749.14 ms /   203 tokens
0.10.822.343 I slot print_timing: id  3 | task 229 |    graphs reused =        230
0.10.822.361 I slot      release: id  3 | task 229 | stop processing: n_tokens = 202, truncated = 0
0.10.833.200 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.128 (> 0.100 thold), f_keep = 0.119
0.10.834.053 I slot launch_slot_: id  3 | task 259 | processing task, is_child = 0
0.12.256.710 I slot print_timing: id  3 | task 259 | prompt eval time =     168.59 ms /   188 tokens (    0.90 ms per token,  1115.10 tokens per second)
0.12.256.712 I slot print_timing: id  3 | task 259 |        eval time =    1254.06 ms /    59 tokens (   21.62 ms per token,    46.25 tokens per second)
0.12.256.712 I slot print_timing: id  3 | task 259 |       total time =    1422.65 ms /   247 tokens
0.12.256.712 I slot print_timing: id  3 | task 259 |    graphs reused =        287
0.12.256.731 I slot      release: id  3 | task 259 | stop processing: n_tokens = 246, truncated = 0
0.12.267.850 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.121 (> 0.100 thold), f_keep = 0.098
0.12.268.719 I slot launch_slot_: id  3 | task 320 | processing task, is_child = 0
0.12.824.820 I slot print_timing: id  3 | task 320 | prompt eval time =     169.76 ms /   199 tokens (    0.85 ms per token,  1172.27 tokens per second)
0.12.824.822 I slot print_timing: id  3 | task 320 |        eval time =     386.34 ms /    19 tokens (   21.46 ms per token,    46.59 tokens per second)
0.12.824.822 I slot print_timing: id  3 | task 320 |       total time =     556.10 ms /   218 tokens
0.12.824.822 I slot print_timing: id  3 | task 320 |    graphs reused =        304
0.12.824.837 I slot      release: id  3 | task 320 | stop processing: n_tokens = 217, truncated = 0
0.12.838.120 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.127 (> 0.100 thold), f_keep = 0.111
0.12.838.769 I slot launch_slot_: id  3 | task 341 | processing task, is_child = 0
0.15.116.916 I slot print_timing: id  3 | task 341 | prompt eval time =     169.53 ms /   189 tokens (    0.90 ms per token,  1114.85 tokens per second)
0.15.116.918 I slot print_timing: id  3 | task 341 |        eval time =    2108.61 ms /    99 tokens (   21.52 ms per token,    46.48 tokens per second)
0.15.116.918 I slot print_timing: id  3 | task 341 |       total time =    2278.14 ms /   288 tokens
0.15.116.918 I slot print_timing: id  3 | task 341 |    graphs reused =        400
0.15.116.933 I slot      release: id  3 | task 341 | stop processing: n_tokens = 287, truncated = 0
0.15.127.918 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.124 (> 0.100 thold), f_keep = 0.084
0.15.128.787 I slot launch_slot_: id  3 | task 442 | processing task, is_child = 0
0.15.797.644 I slot print_timing: id  3 | task 442 | prompt eval time =     169.08 ms /   193 tokens (    0.88 ms per token,  1141.49 tokens per second)
0.15.797.645 I slot print_timing: id  3 | task 442 |        eval time =     499.77 ms /    24 tokens (   21.73 ms per token,    46.02 tokens per second)
0.15.797.646 I slot print_timing: id  3 | task 442 |       total time =     668.85 ms /   217 tokens
0.15.797.646 I slot print_timing: id  3 | task 442 |    graphs reused =        422
0.15.797.662 I slot      release: id  3 | task 442 | stop processing: n_tokens = 216, truncated = 0
0.15.807.930 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.113 (> 0.100 thold), f_keep = 0.134
0.15.808.535 I slot launch_slot_: id  3 | task 468 | processing task, is_child = 0
0.16.938.017 I slot print_timing: id  3 | task 468 | prompt eval time =     247.89 ms /   257 tokens (    0.96 ms per token,  1036.76 tokens per second)
0.16.938.019 I slot print_timing: id  3 | task 468 |        eval time =     881.59 ms /    42 tokens (   21.50 ms per token,    46.51 tokens per second)
0.16.938.019 I slot print_timing: id  3 | task 468 |       total time =    1129.48 ms /   299 tokens
0.16.938.019 I slot print_timing: id  3 | task 468 |    graphs reused =        462
0.16.938.035 I slot      release: id  3 | task 468 | stop processing: n_tokens = 298, truncated = 0
0.16.948.406 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.139 (> 0.100 thold), f_keep = 0.081
0.16.949.305 I slot launch_slot_: id  3 | task 512 | processing task, is_child = 0
0.17.737.776 I slot print_timing: id  3 | task 512 | prompt eval time =     165.28 ms /   173 tokens (    0.96 ms per token,  1046.68 tokens per second)
0.17.737.777 I slot print_timing: id  3 | task 512 |        eval time =     623.18 ms /    30 tokens (   21.49 ms per token,    46.54 tokens per second)
0.17.737.778 I slot print_timing: id  3 | task 512 |       total time =     788.46 ms /   203 tokens
0.17.737.778 I slot print_timing: id  3 | task 512 |    graphs reused =        490
0.17.737.789 I slot      release: id  3 | task 512 | stop processing: n_tokens = 202, truncated = 0
0.17.747.908 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.169 (> 0.100 thold), f_keep = 0.119
0.17.748.479 I slot launch_slot_: id  3 | task 544 | processing task, is_child = 0
0.18.145.166 I slot print_timing: id  3 | task 544 | prompt eval time =     160.22 ms /   142 tokens (    1.13 ms per token,   886.28 tokens per second)
0.18.145.168 I slot print_timing: id  3 | task 544 |        eval time =     236.46 ms /    12 tokens (   21.50 ms per token,    46.52 tokens per second)
0.18.145.168 I slot print_timing: id  3 | task 544 |       total time =     396.68 ms /   154 tokens
0.18.145.168 I slot print_timing: id  3 | task 544 |    graphs reused =        500
0.18.145.179 I slot      release: id  3 | task 544 | stop processing: n_tokens = 153, truncated = 0
0.18.155.265 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.123 (> 0.100 thold), f_keep = 0.157
0.18.155.837 I slot launch_slot_: id  3 | task 558 | processing task, is_child = 0
0.19.686.560 I slot print_timing: id  3 | task 558 | prompt eval time =     169.19 ms /   195 tokens (    0.87 ms per token,  1152.57 tokens per second)
0.19.686.561 I slot print_timing: id  3 | task 558 |        eval time =    1361.53 ms /    64 tokens (   21.61 ms per token,    46.27 tokens per second)
0.19.686.562 I slot print_timing: id  3 | task 558 |       total time =    1530.72 ms /   259 tokens
0.19.686.562 I slot print_timing: id  3 | task 558 |    graphs reused =        561
0.19.686.574 I slot      release: id  3 | task 558 | stop processing: n_tokens = 258, truncated = 0
0.22.023.798 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
0.22.024.431 I slot launch_slot_: id  2 | task 625 | processing task, is_child = 0
0.23.862.135 I slot print_timing: id  2 | task 625 | prompt eval time =     272.95 ms /   292 tokens (    0.93 ms per token,  1069.80 tokens per second)
0.23.862.138 I slot print_timing: id  2 | task 625 |        eval time =    1564.39 ms /    72 tokens (   22.03 ms per token,    45.38 tokens per second)
0.23.862.139 I slot print_timing: id  2 | task 625 |       total time =    1837.34 ms /   364 tokens
0.23.862.139 I slot print_timing: id  2 | task 625 |    graphs reused =        631
0.23.862.159 I slot      release: id  2 | task 625 | stop processing: n_tokens = 363, truncated = 0
0.23.870.956 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.571 (> 0.100 thold), f_keep = 0.738
0.23.870.976 I slot launch_slot_: id  2 | task 698 | processing task, is_child = 0
0.25.719.419 I slot print_timing: id  2 | task 698 | prompt eval time =     378.26 ms /   469 tokens (    0.81 ms per token,  1239.89 tokens per second)
0.25.719.422 I slot print_timing: id  2 | task 698 |        eval time =    1470.14 ms /    68 tokens (   21.94 ms per token,    45.57 tokens per second)
0.25.719.422 I slot print_timing: id  2 | task 698 |       total time =    1848.40 ms /   537 tokens
0.25.719.423 I slot print_timing: id  2 | task 698 |    graphs reused =        696
0.25.719.456 I slot      release: id  2 | task 698 | stop processing: n_tokens = 536, truncated = 0
0.25.727.082 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.918 (> 0.100 thold), f_keep = 0.500
0.25.727.117 I slot launch_slot_: id  2 | task 767 | processing task, is_child = 0
0.27.544.329 I slot print_timing: id  2 | task 767 | prompt eval time =     261.22 ms /   292 tokens (    0.89 ms per token,  1117.83 tokens per second)
0.27.544.332 I slot print_timing: id  2 | task 767 |        eval time =    1555.93 ms /    72 tokens (   21.91 ms per token,    45.63 tokens per second)
0.27.544.332 I slot print_timing: id  2 | task 767 |       total time =    1817.15 ms /   364 tokens
0.27.544.333 I slot print_timing: id  2 | task 767 |    graphs reused =        766
0.27.544.353 I slot      release: id  2 | task 767 | stop processing: n_tokens = 363, truncated = 0
0.27.552.763 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.512 (> 0.100 thold), f_keep = 0.534
0.27.552.784 I slot launch_slot_: id  2 | task 840 | processing task, is_child = 0
0.30.807.531 I slot print_timing: id  2 | task 840 | prompt eval time =     284.83 ms /   379 tokens (    0.75 ms per token,  1330.63 tokens per second)
0.30.807.534 I slot print_timing: id  2 | task 840 |        eval time =    2969.88 ms /   137 tokens (   21.84 ms per token,    45.79 tokens per second)
0.30.807.534 I slot print_timing: id  2 | task 840 |       total time =    3254.70 ms /   516 tokens
0.30.807.535 I slot print_timing: id  2 | task 840 |    graphs reused =        900
0.30.807.552 I slot      release: id  2 | task 840 | stop processing: n_tokens = 515, truncated = 0
0.30.812.992 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.430 (> 0.100 thold), f_keep = 0.377
0.30.814.532 I slot launch_slot_: id  2 | task 978 | processing task, is_child = 0
0.32.732.197 I slot print_timing: id  2 | task 978 | prompt eval time =     375.22 ms /   451 tokens (    0.83 ms per token,  1201.97 tokens per second)
0.32.732.199 I slot print_timing: id  2 | task 978 |        eval time =    1542.41 ms /    72 tokens (   21.72 ms per token,    46.03 tokens per second)
0.32.732.199 I slot print_timing: id  2 | task 978 |       total time =    1917.63 ms /   523 tokens
0.32.732.200 I slot print_timing: id  2 | task 978 |    graphs reused =        969
0.32.732.220 I slot      release: id  2 | task 978 | stop processing: n_tokens = 522, truncated = 0
0.32.737.582 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.910 (> 0.100 thold), f_keep = 0.818
0.32.737.596 I slot launch_slot_: id  2 | task 1051 | processing task, is_child = 0
0.34.566.403 I slot print_timing: id  2 | task 1051 | prompt eval time =     375.73 ms /   469 tokens (    0.80 ms per token,  1248.22 tokens per second)
0.34.566.405 I slot print_timing: id  2 | task 1051 |        eval time =    1453.04 ms /    68 tokens (   21.69 ms per token,    46.11 tokens per second)
0.34.566.406 I slot print_timing: id  2 | task 1051 |       total time =    1828.78 ms /   537 tokens
0.34.566.406 I slot print_timing: id  2 | task 1051 |    graphs reused =       1034
0.34.566.426 I slot      release: id  2 | task 1051 | stop processing: n_tokens = 536, truncated = 0
0.34.571.653 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.512 (> 0.100 thold), f_keep = 0.362
0.34.573.668 I slot launch_slot_: id  2 | task 1120 | processing task, is_child = 0
0.36.265.752 I slot print_timing: id  2 | task 1120 | prompt eval time =     283.60 ms /   379 tokens (    0.75 ms per token,  1336.41 tokens per second)
0.36.265.756 I slot print_timing: id  2 | task 1120 |        eval time =    1408.45 ms /    66 tokens (   21.67 ms per token,    46.15 tokens per second)
0.36.265.757 I slot print_timing: id  2 | task 1120 |       total time =    1692.05 ms /   445 tokens
0.36.265.757 I slot print_timing: id  2 | task 1120 |    graphs reused =       1098
0.36.265.784 I slot      release: id  2 | task 1120 | stop processing: n_tokens = 444, truncated = 0
