replicate,seed_spawn_key,method,estimate,task_cluster_se,ci_lower,ci_upper,covered_truth
0,"(0,)",DR_both_correct,0.7990991449651385,0.009783820811388445,0.779922856174817,0.8182754337554599,True
0,"(0,)",DR_propensity_correct_Q_wrong,0.7969586145024254,0.010405557055325138,0.7765637226739882,0.8173535063308627,True
0,"(0,)",DR_Q_correct_propensity_wrong,0.808534107083242,0.05697010157862461,0.6968727079891378,0.9201955061773462,True
0,"(0,)",DR_both_wrong,1.4280739886718745,0.05726519684576502,1.3158342028541752,1.5403137744895739,False
0,"(0,)",IPW_propensity_correct,0.8041269564235535,0.037899499860888454,0.7298439366962121,0.8784099761508949,True
0,"(0,)",IPW_propensity_wrong,1.4083860914062512,0.07891472563096517,1.2537132291695594,1.563058953642943,False
0,"(0,)",Direct_Q_correct,0.8065421502669574,0.006420138316902231,0.7939586791658291,0.8191256213680858,True
0,"(0,)",Direct_Q_wrong,0.5983743749999981,0.010617526525698756,0.5775640230096286,0.6191847269903676,False
1,"(1,)",DR_both_correct,0.8164280402518999,0.00920729177328348,0.7983817483762642,0.8344743321275355,True
1,"(1,)",DR_propensity_correct_Q_wrong,0.8189604599388691,0.009727936616116262,0.7998937041712813,0.838027215706457,False
1,"(1,)",DR_Q_correct_propensity_wrong,0.8506407329108583,0.05654502000868588,0.739812493693834,0.9614689721278826,True
1,"(1,)",DR_both_wrong,1.4669023851562486,0.05814294621873163,1.3529422105675346,1.5808625597449626,False
1,"(1,)",IPW_propensity_correct,0.7930979355634419,0.0384999582342229,0.7176380174243651,0.8685578537025187,True
1,"(1,)",IPW_propensity_wrong,1.386286444921876,0.07934265517104697,1.230774840786624,1.541798049057128,False
1,"(1,)",Direct_Q_correct,0.804692305147895,0.006398744606714124,0.7921507657187353,0.8172338445770547,True
1,"(1,)",Direct_Q_wrong,0.5938724999999989,0.010615535503023766,0.5730660504140723,0.6146789495859255,False
2,"(2,)",DR_both_correct,0.7949807910353367,0.009470233963962864,0.7764191324659695,0.8135424496047039,True
2,"(2,)",DR_propensity_correct_Q_wrong,0.7971005202346825,0.010136711761692242,0.7772325651817656,0.8169684752875993,True
2,"(2,)",DR_Q_correct_propensity_wrong,0.7783416106593346,0.05730236102597272,0.6660289830484281,0.8906542382702411,True
2,"(2,)",DR_both_wrong,1.4223746347656252,0.056120638986424685,1.312378182352233,1.5323710871790175,False
2,"(2,)",IPW_propensity_correct,0.7909485343381527,0.03825451379125746,0.715969687307288,0.8659273813690174,True
2,"(2,)",IPW_propensity_wrong,1.329505748437503,0.07801548780427968,1.1765953923411148,1.4824161045338913,False
2,"(2,)",Direct_Q_correct,0.7935907333437533,0.006416235278482143,0.7810149121979283,0.8061665544895783,True
2,"(2,)",Direct_Q_wrong,0.5773656249999992,0.010587754968439974,0.5566136252618569,0.5981176247381416,False
3,"(3,)",DR_both_correct,0.7954565305860319,0.009689077487376527,0.776465938710774,0.8144471224612899,True
3,"(3,)",DR_propensity_correct_Q_wrong,0.7978644433001392,0.01033208691141976,0.7776135529537564,0.8181153336465219,True
3,"(3,)",DR_Q_correct_propensity_wrong,0.8066180643784768,0.056985927293310486,0.6949256468835883,0.9183104818733654,True
3,"(3,)",DR_both_wrong,1.4747846933593776,0.05894590354737777,1.3592507224065171,1.590318664312238,False
3,"(3,)",IPW_propensity_correct,0.807459673711316,0.037254714865945435,0.734440432574063,0.880478914848569,True
3,"(3,)",IPW_propensity_wrong,1.4585889503906282,0.08441328807751329,1.2931389057587022,1.6240389950225542,False
3,"(3,)",Direct_Q_correct,0.7869218848908629,0.006365777119711838,0.7744449617362277,0.7993988080454981,True
